date,y
2016-06-06,295
2016-06-07,315
2016-06-08,308
2016-06-09,294
2016-06-10,324
2016-06-11,166
2016-06-12,192
2016-06-13,319
2016-06-14,298
2016-06-15,329
2016-06-16,294
2016-06-17,342
2016-06-18,276
2016-06-19,198
2016-06-20,348
2016-06-21,273
2016-06-22,291
2016-06-23,326
2016-06-24,341
2016-06-25,277
2016-06-26,212
2016-06-27,334
2016-06-28,315
2016-06-29,319
2016-06-30,318
2016-07-01,336
2016-07-02,265
2016-07-03,187
2016-07-04,277
2016-07-05,176
2016-07-06,160
2016-07-07,276
2016-07-08,245
2016-07-09,202
2016-07-10,207
2016-07-11,296
2016-07-12,295
2016-07-13,297
2016-07-14,358
2016-07-15,269
2016-07-16,213
2016-07-17,234
2016-07-18,275
2016-07-19,301
2016-07-20,281
2016-07-21,286
2016-07-22,326
2016-07-23,258
2016-07-24,220
2016-07-25,301
2016-07-26,281
2016-07-27,292
2016-07-28,270
2016-07-29,308
2016-07-30,225
2016-07-31,256
2016-08-01,299
2016-08-02,278
2016-08-03,279
2016-08-04,284
2016-08-05,346
2016-08-06,215
2016-08-07,242
2016-08-08,330
2016-08-09,277
2016-08-10,288
2016-08-11,257
2016-08-12,253
2016-08-13,211
2016-08-14,218
2016-08-15,325
2016-08-16,234
2016-08-17,296
2016-08-18,256
2016-08-19,323
2016-08-20,248
2016-08-21,239
2016-08-22,299
2016-08-23,248
2016-08-24,268
2016-08-25,325
2016-08-26,319
2016-08-27,258
2016-08-28,226
2016-08-29,312
2016-08-30,296
2016-08-31,346
2016-09-01,306
2016-09-02,292
2016-09-03,218
2016-09-04,205
2016-09-05,315
2016-09-06,291
2016-09-07,312
2016-09-08,318
2016-09-09,346
2016-09-10,238
2016-09-11,202
2016-09-12,366
2016-09-13,290
2016-09-14,323
2016-09-15,368
2016-09-16,321
2016-09-17,288
2016-09-18,255
2016-09-19,333
2016-09-20,252
2016-09-21,287
2016-09-22,332
2016-09-23,324
2016-09-24,222
2016-09-25,199
2016-09-26,310
2016-09-27,345
2016-09-28,179
2016-09-29,334
2016-09-30,315
2016-10-01,255
2016-10-02,275
2016-10-03,381
2016-10-04,352
2016-10-05,331
2016-10-06,377
2016-10-07,354
2016-10-08,234
2016-10-09,227
2016-10-10,320
2016-10-11,279
2016-10-12,298
2016-10-13,322
2016-10-14,321
2016-10-15,250
2016-10-16,219
2016-10-17,326
2016-10-18,314
2016-10-19,344
2016-10-20,357
2016-10-21,380
2016-10-22,247
2016-10-23,193
2016-10-24,345
2016-10-25,372
2016-10-26,297
2016-10-27,334
2016-10-28,185
2016-10-29,254
2016-10-30,204
2016-10-31,339
2016-11-01,318
2016-11-02,281
2016-11-03,320
2016-11-04,300
2016-11-05,224
2016-11-06,214
2016-11-07,295
2016-11-08,318
2016-11-09,258
2016-11-10,341
2016-11-11,331
2016-11-12,217
2016-11-13,173
2016-11-14,334
2016-11-15,313
2016-11-16,384
2016-11-17,224
2016-11-18,275
2016-11-19,224
2016-11-20,206
2016-11-21,352
2016-11-22,262
2016-11-23,284
2016-11-24,288
2016-11-25,325
2016-11-26,229
2016-11-27,180
2016-11-28,336
2016-11-29,294
2016-11-30,345
2016-12-01,340
2016-12-02,358
2016-12-03,265
2016-12-04,203
2016-12-05,310
2016-12-06,284
2016-12-07,290
2016-12-08,354
2016-12-09,358
2016-12-10,280
2016-12-11,186
2016-12-12,335
2016-12-13,244
2016-12-14,310
2016-12-15,300
2016-12-16,337
2016-12-17,197
2016-12-18,258
2016-12-19,313
2016-12-20,267
2016-12-21,329
2016-12-22,303
2016-12-23,392
2016-12-24,154
2016-12-25,131
2016-12-26,133
2016-12-27,163
2016-12-28,220
2016-12-29,244
2016-12-30,210
2016-12-31,152
2017-01-01,466
2017-01-02,296
2017-01-03,248
2017-01-04,401
2017-01-05,361
2017-01-06,310
2017-01-07,205
2017-01-08,178
2017-01-09,261
2017-01-10,267
2017-01-11,324
2017-01-12,313
2017-01-13,389
2017-01-14,230
2017-01-15,158
2017-01-16,310
2017-01-17,244
2017-01-18,298
2017-01-19,295
2017-01-20,300
2017-01-21,199
2017-01-22,185
2017-01-23,273
2017-01-24,261
2017-01-25,220
2017-01-26,251
2017-01-27,311
2017-01-28,201
2017-01-29,147
2017-01-30,315
2017-01-31,409
2017-02-01,351
2017-02-02,375
2017-02-03,326
2017-02-04,178
2017-02-05,162
2017-02-06,236
2017-02-07,202
2017-02-08,225
2017-02-09,238
2017-02-10,280
2017-02-11,168
2017-02-12,147
2017-02-13,283
2017-02-14,267
2017-02-15,315
2017-02-16,306
2017-02-17,370
2017-02-18,169
2017-02-19,155
2017-02-20,288
2017-02-21,227
2017-02-22,283
2017-02-23,245
2017-02-24,305
2017-02-25,199
2017-02-26,148
2017-02-27,302
2017-02-28,219
2017-03-01,231
2017-03-02,255
2017-03-03,301
2017-03-04,194
2017-03-05,150
2017-03-06,228
2017-03-07,238
2017-03-08,246
2017-03-09,269
2017-03-10,277
2017-03-11,200
2017-03-12,133
2017-03-13,236
2017-03-14,252
2017-03-15,219
2017-03-16,287
2017-03-17,308
2017-03-18,227
2017-03-19,174
2017-03-20,276
2017-03-21,247
2017-03-22,284
2017-03-23,250
2017-03-24,274
2017-03-25,196
2017-03-26,185
2017-03-27,298
2017-03-28,318
2017-03-29,310
2017-03-30,275
2017-03-31,378
2017-04-01,265
2017-04-02,183
2017-04-03,280
2017-04-04,282
2017-04-05,271
2017-04-06,261
2017-04-07,359
2017-04-08,196
2017-04-09,174
2017-04-10,368
2017-04-11,301
2017-04-12,338
2017-04-13,342
2017-04-14,198
2017-04-15,211
2017-04-16,180
2017-04-17,201
2017-04-18,294
2017-04-19,279
2017-04-20,284
2017-04-21,299
2017-04-22,197
2017-04-23,174
2017-04-24,354
2017-04-25,262
2017-04-26,293
2017-04-27,291
2017-04-28,332
2017-04-29,243
2017-04-30,222
2017-05-01,211
2017-05-02,332
2017-05-03,305
2017-05-04,286
2017-05-05,319
2017-05-06,237
2017-05-07,207
2017-05-08,173
2017-05-09,299
2017-05-10,372
2017-05-11,371
2017-05-12,354
2017-05-13,250
2017-05-14,226
2017-05-15,354
2017-05-16,300
2017-05-17,343
2017-05-18,357
2017-05-19,396
2017-05-20,223
2017-05-21,217
2017-05-22,318
2017-05-23,306
2017-05-24,287
2017-05-25,323
2017-05-26,355
